9606	9598	9597	9544	9258	9031	13616	10090
ENSG00000008083	ENSPTRG00000017743	ENSPPAG00000011480	ENSMMUG00000015362	ENSOANG00000011869	ENSGALG00000012702	ENSMODG00000010746	ENSMUSG00000038518
ENSG00000008086	ENSPTRG00000021711	ENSPPAG00000027668	ENSMMUG00000005063	ENSOANG00000004037	ENSGALG00000016529	ENSMODG00000017140	ENSMUSG00000031292
ENSG00000008118	ENSPTRG00000001935	ENSPPAG00000042547	ENSMMUG00000003369	ENSOANG00000013758	ENSGALG00000001319	ENSMODG00000002455	ENSMUSG00000016179
ENSG00000008130	ENSPTRG00000000038	ENSPPAG00000032335	ENSMMUG00000010879	ENSOANG00000006377	ENSGALG00000032413	ENSMODG00000006845	ENSMUSG00000029063
ENSG00000008196	ENSPTRG00000018269	ENSPPAG00000031196	ENSMMUG00000002869	ENSOANG00000003130	ENSGALG00000016680	ENSMODG00000018831	ENSMUSG00000025927
ENSG00000008197	ENSPTRG00000018268	ENSPPAG00000038341	ENSMMUG00000002867	ENSOANG00000003129	ENSGALG00000019842	ENSMODG00000018834	ENSMUSG00000042596
ENSG00000008226	ENSPTRG00000014752	ENSPPAG00000041933	ENSMMUG00000000987	ENSOANG00000010795	ENSGALG00000005826	ENSMODG00000021164	ENSMUSG00000038060
ENSG00000008294	ENSPTRG00000009414	ENSPPAG00000035613	ENSMMUG00000022528	ENSOANG00000010297	ENSGALG00000034001	ENSMODG00000012665	ENSMUSG00000020859
ENSG00000008405	ENSPTRG00000005396	ENSPPAG00000013513	ENSMMUG00000021808	ENSOANG00000005530	ENSGALG00000012638	ENSMODG00000001579	ENSMUSG00000020038
ENSG00000008952	ENSPTRG00000015611	ENSPPAG00000039452	ENSMMUG00000021899	ENSOANG00000007659	ENSGALG00000009379	ENSMODG00000016096	ENSMUSG00000027706
ENSG00000009307	ENSPTRG00000033721	ENSPPAG00000025861	ENSMMUG00000001974	ENSOANG00000003346	ENSGALG00000002139	ENSMODG00000004685	ENSMUSG00000068823
ENSG00000009335	ENSPTRG00000019919	ENSPPAG00000036105	ENSMMUG00000008733	ENSOANG00000006137	ENSGALG00000006461	ENSMODG00000005239	ENSMUSG00000039000
ENSG00000009780	ENSPTRG00000000414	ENSPPAG00000033431	ENSMMUG00000012243	ENSOANG00000009599	ENSGALG00000040986	ENSMODG00000010679	ENSMUSG00000028878
ENSG00000009844	ENSPTRG00000018662	ENSPPAG00000028015	ENSMMUG00000023012	ENSOANG00000005284	ENSGALG00000013810	ENSMODG00000017279	ENSMUSG00000019868
ENSG00000010165	ENSPTRG00000001682	ENSPPAG00000039457	ENSMMUG00000007266	ENSOANG00000000905	ENSGALG00000003206	ENSMODG00000003886	ENSMUSG00000026694
ENSG00000010244	ENSPTRG00000008989	ENSPPAG00000032098	ENSMMUG00000016875	ENSOANG00000011104	ENSGALG00000003454	ENSMODG00000019185	ENSMUSG00000017421
ENSG00000010256	ENSPTRG00000014892	ENSPPAG00000034955	ENSMMUG00000014705	ENSOANG00000001852	ENSGALG00000005789	ENSMODG00000013475	ENSMUSG00000025651
ENSG00000010278	ENSPTRG00000004567	ENSPPAG00000029663	ENSMMUG00000004470	ENSOANG00000000758	ENSGALG00000017274	ENSMODG00000018053	ENSMUSG00000030342
ENSG00000010282	ENSPTRG00000014800	ENSPPAG00000028220	ENSMMUG00000021245	ENSOANG00000004353	ENSGALG00000005297	ENSMODG00000013592	ENSMUSG00000032523
ENSG00000010322	ENSPTRG00000015001	ENSPPAG00000014444	ENSMMUG00000005619	ENSOANG00000001501	ENSGALG00000043825	ENSMODG00000011444	ENSMUSG00000021910
ENSG00000010327	ENSPTRG00000015002	ENSPPAG00000038101	ENSMMUG00000017351	ENSOANG00000001499	ENSGALG00000043672	ENSMODG00000011416	ENSMUSG00000042286
ENSG00000010379	ENSPTRG00000004506	ENSPPAG00000038704	ENSMMUG00000013726	ENSOANG00000010939	ENSGALG00000012985	ENSMODG00000018384	ENSMUSG00000030108
ENSG00000010610	ENSPTRG00000004590	ENSPPAG00000034703	ENSMMUG00000013202	ENSOANG00000006564	ENSGALG00000014477	ENSMODG00000027359	ENSMUSG00000023274
ENSG00000010810	ENSPTRG00000018511	ENSPPAG00000035740	ENSMMUG00000017017	ENSOANG00000012162	ENSGALG00000015022	ENSMODG00000017905	ENSMUSG00000019843
ENSG00000010818	ENSPTRG00000018665	ENSPPAG00000043727	ENSMMUG00000007998	ENSOANG00000007666	ENSGALG00000013795	ENSMODG00000017268	ENSMUSG00000015501
ENSG00000011007	ENSPTRG00000000335	ENSPPAG00000005766	ENSMMUG00000003173	ENSOANG00000005490	ENSGALG00000034625	ENSMODG00000012842	ENSMUSG00000028668
ENSG00000011021	ENSPTRG00000000154	ENSPPAG00000036215	ENSMMUG00000007829	ENSOANG00000002741	ENSGALG00000004590	ENSMODG00000010962	ENSMUSG00000029016
ENSG00000011105	ENSPTRG00000045040	ENSPPAG00000034393	ENSMMUG00000009252	ENSOANG00000002245	ENSGALG00000014346	ENSMODG00000018335	ENSMUSG00000030352
ENSG00000011132	ENSPTRG00000010275	ENSPPAG00000026188	ENSMMUG00000009672	ENSOANG00000006293	ENSGALG00000000740	ENSMODG00000000598	ENSMUSG00000004931
ENSG00000011143	ENSPTRG00000009447	ENSPPAG00000026249	ENSMMUG00000011971	ENSOANG00000007356	ENSGALG00000030979	ENSMODG00000014749	ENSMUSG00000034121
ENSG00000011198	ENSPTRG00000014812	ENSPPAG00000033057	ENSMMUG00000001031	ENSOANG00000010081	ENSGALG00000040363	ENSMODG00000015241	ENSMUSG00000032540
ENSG00000011258	ENSPTRG00000009417	ENSPPAG00000027635	ENSMMUG00000001942	ENSOANG00000003190	ENSGALG00000002954	ENSMODG00000012572	ENSMUSG00000059474
ENSG00000011295	ENSPTRG00000008807	ENSPPAG00000021467	ENSMMUG00000008949	ENSOANG00000012683	ENSGALG00000004416	ENSMODG00000011107	ENSMUSG00000042298
ENSG00000011405	ENSPTRG00000003399	ENSPPAG00000039156	ENSMMUG00000022548	ENSOANG00000007685	ENSGALG00000006121	ENSMODG00000007062	ENSMUSG00000030660
ENSG00000011426	ENSPTRG00000019084	ENSPPAG00000042242	ENSMMUG00000021186	ENSOANG00000001544	ENSGALG00000043642	ENSMODG00000021170	ENSMUSG00000036777
ENSG00000011465	ENSPTRG00000005290	ENSPPAG00000039448	ENSMMUG00000016997	ENSOANG00000006630	ENSGALG00000011274	ENSMODG00000009654	ENSMUSG00000019929
ENSG00000011478	ENSPTRG00000011163	ENSPPAG00000028397	ENSMMUG00000006940	ENSOANG00000014943	ENSGALG00000044210	ENSMODG00000021538	ENSMUSG00000030407
ENSG00000011638	ENSPTRG00000007855	ENSPPAG00000036846	ENSMMUG00000016758	ENSOANG00000014286	ENSGALG00000027173	ENSMODG00000007207	ENSMUSG00000030917
ENSG00000012504	ENSPTRG00000005345	ENSPPAG00000027056	ENSMMUG00000003571	ENSOANG00000005583	ENSGALG00000011594	ENSMODG00000004996	ENSMUSG00000047638
ENSG00000012660	ENSPTRG00000018289	ENSPPAG00000035952	ENSMMUG00000006422	ENSOANG00000011799	ENSGALG00000016314	ENSMODG00000018802	ENSMUSG00000032349
ENSG00000013288	ENSPTRG00000048091	ENSPPAG00000028247	ENSMMUG00000005298	ENSOANG00000003982	ENSGALG00000015537	ENSMODG00000002889	ENSMUSG00000029119
ENSG00000013293	ENSPTRG00000015619	ENSPPAG00000043869	ENSMMUG00000013987	ENSOANG00000008030	ENSGALG00000009349	ENSMODG00000016059	ENSMUSG00000069072
ENSG00000013364	ENSPTRG00000007971	ENSPPAG00000036492	ENSMMUG00000016422	ENSOANG00000007170	ENSGALG00000040471	ENSMODG00000015756	ENSMUSG00000030681
ENSG00000013375	ENSPTRG00000018379	ENSPPAG00000033718	ENSMMUG00000012589	ENSOANG00000001277	ENSGALG00000015854	ENSMODG00000018386	ENSMUSG00000056131
ENSG00000013503	ENSPTRG00000005390	ENSPPAG00000035177	ENSMMUG00000005208	ENSOANG00000005536	ENSGALG00000012655	ENSMODG00000001884	ENSMUSG00000034453
ENSG00000013583	ENSPTRG00000004712	ENSPPAG00000040043	ENSMMUG00000017633	ENSOANG00000002880	ENSGALG00000011798	ENSMODG00000018218	ENSMUSG00000042770
ENSG00000013588	ENSPTRG00000004710	ENSPPAG00000030927	ENSMMUG00000017631	ENSOANG00000001651	ENSGALG00000011796	ENSMODG00000018220	ENSMUSG00000046733
ENSG00000014123	ENSPTRG00000018432	ENSPPAG00000043299	ENSMMUG00000012616	ENSOANG00000001306	ENSGALG00000015580	ENSMODG00000018137	ENSMUSG00000040359
ENSG00000014164	ENSPTRG00000020655	ENSPPAG00000035455	ENSMMUG00000019255	ENSOANG00000003534	ENSGALG00000043265	ENSMODG00000011385	ENSMUSG00000075600
ENSG00000014257	ENSPTRG00000015399	ENSPPAG00000028430	ENSMMUG00000016004	ENSOANG00000006774	ENSGALG00000043415	ENSMODG00000011756	ENSMUSG00000032561
ENSG00000014824	ENSPTRG00000016014	ENSPPAG00000036274	ENSMMUG00000022782	ENSOANG00000000330	ENSGALG00000031415	ENSMODG00000020577	ENSMUSG00000029221
ENSG00000015153	ENSPTRG00000004837	ENSPPAG00000033805	ENSMMUG00000010868	ENSOANG00000000802	ENSGALG00000009540	ENSMODG00000008906	ENSMUSG00000022634
ENSG00000015171	ENSPTRG00000002229	ENSPPAG00000042391	ENSMMUG00000021279	ENSOANG00000006111	ENSGALG00000006599	ENSMODG00000005572	ENSMUSG00000021156
ENSG00000016082	ENSPTRG00000016858	ENSPPAG00000034172	ENSMMUG00000003984	ENSOANG00000010771	ENSGALG00000014884	ENSMODG00000019439	ENSMUSG00000042258
ENSG00000016402	ENSPTRG00000018640	ENSPPAG00000027630	ENSMMUG00000013566	ENSOANG00000005257	ENSGALG00000013869	ENSMODG00000017429	ENSMUSG00000020007
ENSG00000016864	ENSPTRG00000015010	ENSPPAG00000042721	ENSMMUG00000012526	ENSOANG00000013435	ENSGALG00000001642	ENSMODG00000011221	ENSMUSG00000021916
ENSG00000017260	ENSPTRG00000015390	ENSPPAG00000032801	ENSMMUG00000005137	ENSOANG00000006763	ENSGALG00000034340	ENSMODG00000011991	ENSMUSG00000032570
ENSG00000017427	ENSPTRG00000024078	ENSPPAG00000015292	ENSMMUG00000002235	ENSOANG00000005566	ENSGALG00000012755	ENSMODG00000002506	ENSMUSG00000020053
ENSG00000017797	ENSPTRG00000009859	ENSPPAG00000029236	ENSMMUG00000019521	ENSOANG00000012879	ENSGALG00000008405	ENSMODG00000021445	ENSMUSG00000024096
ENSG00000018189	ENSPTRG00000016135	ENSPPAG00000034415	ENSMMUG00000004465	ENSOANG00000013695	ENSGALG00000011564	ENSMODG00000019087	ENSMUSG00000029291
ENSG00000018280	ENSPTRG00000012917	ENSPPAG00000035104	ENSMMUG00000013359	ENSOANG00000007050	ENSGALG00000011434	ENSMODG00000015482	ENSMUSG00000026177
ENSG00000018610	ENSPTRG00000022224	ENSPPAG00000027296	ENSMMUG00000022665	ENSOANG00000001808	ENSGALG00000008652	ENSMODG00000010197	ENSMUSG00000006423
ENSG00000019144	ENSPTRG00000004351	ENSPPAG00000035312	ENSMMUG00000002544	ENSOANG00000003754	ENSGALG00000040030	ENSMODG00000013416	ENSMUSG00000048537
ENSG00000019505	ENSPTRG00000003534	ENSPPAG00000027303	ENSMMUG00000011449	ENSOANG00000011928	ENSGALG00000008055	ENSMODG00000019875	ENSMUSG00000027220
ENSG00000019549	ENSPTRG00000020235	ENSPPAG00000015662	ENSMMUG00000016195	ENSOANG00000007267	ENSGALG00000030902	ENSMODG00000010173	ENSMUSG00000022676
ENSG00000019991	ENSPTRG00000019349	ENSPPAG00000034919	ENSMMUG00000018652	ENSOANG00000003484	ENSGALG00000033974	ENSMODG00000017029	ENSMUSG00000028864
ENSG00000020129	ENSPTRG00000000522	ENSPPAG00000040334	ENSMMUG00000019812	ENSOANG00000013428	ENSGALG00000002408	ENSMODG00000017906	ENSMUSG00000028833
ENSG00000022567	ENSPTRG00000020628	ENSPPAG00000029066	ENSMMUG00000013579	ENSOANG00000009761	ENSGALG00000034971	ENSMODG00000000663	ENSMUSG00000079020
ENSG00000022840	ENSPTRG00000005541	ENSPPAG00000039341	ENSMMUG00000004223	ENSOANG00000001790	ENSGALG00000036417	ENSMODG00000003111	ENSMUSG00000041740
ENSG00000023171	ENSPTRG00000004406	ENSPPAG00000035403	ENSMMUG00000015522	ENSOANG00000015188	ENSGALG00000006494	ENSMODG00000012947	ENSMUSG00000040111
ENSG00000023287	ENSPTRG00000020246	ENSPPAG00000040017	ENSMMUG00000009990	ENSOANG00000007278	ENSGALG00000015259	ENSMODG00000009612	ENSMUSG00000025907
ENSG00000023318	ENSPTRG00000021188	ENSPPAG00000041063	ENSMMUG00000011415	ENSOANG00000002120	ENSGALG00000013452	ENSMODG00000012640	ENSMUSG00000028343
ENSG00000023330	ENSPTRG00000014991	ENSPPAG00000042129	ENSMMUG00000005596	ENSOANG00000014853	ENSGALG00000003948	ENSMODG00000011675	ENSMUSG00000032786
ENSG00000024048	ENSPTRG00000018171	ENSPPAG00000028429	ENSMMUG00000005675	ENSOANG00000008465	ENSGALG00000009906	ENSMODG00000019037	ENSMUSG00000023977
ENSG00000024862	ENSPTRG00000018653	ENSPPAG00000039261	ENSMMUG00000017643	ENSOANG00000014803	ENSGALG00000013834	ENSMODG00000017386	ENSMUSG00000059554
ENSG00000025039	ENSPTRG00000018420	ENSPPAG00000029815	ENSMMUG00000015262	ENSOANG00000004170	ENSGALG00000026971	ENSMODG00000018275	ENSMUSG00000028278
ENSG00000025156	ENSPTRG00000018561	ENSPPAG00000033984	ENSMMUG00000007910	ENSOANG00000014662	ENSGALG00000038420	ENSMODG00000017753	ENSMUSG00000019878
ENSG00000025434	ENSPTRG00000003560	ENSPPAG00000039033	ENSMMUG00000015598	ENSOANG00000006250	ENSGALG00000038059	ENSMODG00000019906	ENSMUSG00000002108
ENSG00000025796	ENSPTRG00000018470	ENSPPAG00000011744	ENSMMUG00000016598	ENSOANG00000000777	ENSGALG00000015308	ENSMODG00000018012	ENSMUSG00000019802
ENSG00000025800	ENSPTRG00000000471	ENSPPAG00000017972	ENSMMUG00000008455	ENSOANG00000003840	ENSGALG00000003383	ENSMODG00000017528	ENSMUSG00000003731
ENSG00000027001	ENSPTRG00000005705	ENSPPAG00000029285	ENSMMUG00000006942	ENSOANG00000009042	ENSGALG00000017118	ENSMODG00000008482	ENSMUSG00000021993
ENSG00000027697	ENSPTRG00000018642	ENSPPAG00000032456	ENSMMUG00000012098	ENSOANG00000005255	ENSGALG00000013865	ENSMODG00000017421	ENSMUSG00000020009
ENSG00000028203	ENSPTRG00000005312	ENSPPAG00000032437	ENSMMUG00000018903	ENSOANG00000006615	ENSGALG00000011357	ENSMODG00000008194	ENSMUSG00000036099
ENSG00000029559	ENSPTRG00000016263	ENSPPAG00000038769	ENSMMUG00000011111	ENSOANG00000013629	ENSGALG00000010928	ENSMODG00000020731	ENSMUSG00000029306
ENSG00000030066	ENSPTRG00000003577	ENSPPAG00000006588	ENSMMUG00000010869	ENSOANG00000007911	ENSGALG00000043074	ENSMODG00000019923	ENSMUSG00000051329
ENSG00000030304	ENSPTRG00000021248	ENSPPAG00000027272	ENSMMUG00000007065	ENSOANG00000006972	ENSGALG00000015728	ENSMODG00000003983	ENSMUSG00000057280
ENSG00000030419	ENSPTRG00000048797	ENSPPAG00000041873	ENSMMUG00000000381	ENSOANG00000009330	ENSGALG00000003136	ENSMODG00000015683	ENSMUSG00000025997
ENSG00000031691	ENSPTRG00000018257	ENSPPAG00000038636	ENSMMUG00000002460	ENSOANG00000008259	ENSGALG00000016692	ENSMODG00000025438	ENSMUSG00000023919
ENSG00000031698	ENSPTRG00000001043	ENSPPAG00000043924	ENSMMUG00000021837	ENSOANG00000009192	ENSGALG00000026809	ENSMODG00000002154	ENSMUSG00000068739
ENSG00000031823	ENSPTRG00000010351	ENSPPAG00000040739	ENSMMUG00000011964	ENSOANG00000004948	ENSGALG00000000577	ENSMODG00000001371	ENSMUSG00000002372
