bgeeGeneId	geneId	geneName	geneDescription	speciesId	geneBioTypeId	ensemblGene	geneMappedToGeneIdCount
215608	ENSLOCG00000000060	C4orf54	chromosome unknown C4orf54 homolog [Source:NCBI gene;Acc:102685224]	7918	6	1	1
215609	ENSLOCG00000000061		Ig-like domain-containing protein	7918	6	1	1
215610	ENSLOCG00000000062		Ig-like domain-containing protein	7918	6	1	1
215611	ENSLOCG00000000063		NACHT domain-containing protein	7918	6	1	1
215612	ENSLOCG00000000064		Glycine N-acyltransferase-like protein	7918	6	1	1
215613	ENSLOCG00000000065			7918	6	1	1
215614	ENSLOCG00000000066		Glycine N-acyltransferase-like protein	7918	6	1	1
215615	ENSLOCG00000000067		SUEL-type lectin domain-containing protein	7918	6	1	1
215616	ENSLOCG00000000068			7918	6	1	1
215617	ENSLOCG00000000069			7918	6	1	1
215618	ENSLOCG00000000070		lithostathine-2-like [Source:NCBI gene;Acc:102696546]	7918	6	1	1
215619	ENSLOCG00000000071	hsp90aa1.2	heat shock protein HSP 90-alpha [Source:NCBI gene;Acc:102693534]	7918	6	1	1
215620	ENSLOCG00000000072		Tubulin domain-containing protein	7918	6	1	1
215621	ENSLOCG00000000073			7918	6	1	1
215622	ENSLOCG00000000074	thop1	thimet oligopeptidase-like [Source:NCBI gene;Acc:102698056]	7918	6	1	1
215623	ENSLOCG00000000075			7918	6	1	1
215624	ENSLOCG00000000076			7918	6	1	1
215625	ENSLOCG00000000077			7918	6	1	1
215626	ENSLOCG00000000078	B4GALT1	beta-1,4-galactosyltransferase 1-like [Source:NCBI gene;Acc:102691443]	7918	6	1	1
215627	ENSLOCG00000000079		splicing factor 3B subunit 2-like [Source:NCBI gene;Acc:107076440]	7918	6	1	1
215628	ENSLOCG00000000080			7918	6	1	1
215629	ENSLOCG00000000081	cd2bp2	CD2 cytoplasmic tail binding protein 2 [Source:NCBI gene;Acc:102688891]	7918	6	1	1
215630	ENSLOCG00000000082		AIG1-type G domain-containing protein	7918	6	1	1
215631	ENSLOCG00000000083		tumor necrosis factor receptor superfamily member 5-like [Source:NCBI gene;Acc:107076369]	7918	6	1	1
215632	ENSLOCG00000000084		PLCXc domain-containing protein	7918	6	1	1
215633	ENSLOCG00000000085	sin3b	SIN3 transcription regulator family member B [Source:NCBI gene;Acc:102683553]	7918	6	1	1
215634	ENSLOCG00000000086			7918	6	1	1
215635	ENSLOCG00000000087		PLA2c domain-containing protein	7918	6	1	1
215636	ENSLOCG00000000088		Protein kinase domain-containing protein	7918	6	1	1
215637	ENSLOCG00000000089	slc32a1	vesicular inhibitory amino acid transporter [Source:NCBI gene;Acc:102685578]	7918	6	1	1
215638	ENSLOCG00000000090		SET domain-containing protein	7918	6	1	1
215639	ENSLOCG00000000091		NACHT domain-containing protein	7918	6	1	1
215640	ENSLOCG00000000092	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	7918	6	1	1
215641	ENSLOCG00000000093	rtca	RNA 3'-terminal phosphate cyclase [Source:NCBI gene;Acc:102699189]	7918	6	1	1
215642	ENSLOCG00000000094	ticam1	toll-like receptor adaptor molecule 1 [Source:ZFIN;Acc:ZDB-GENE-040219-2]	7918	6	1	1
215643	ENSLOCG00000000095		Ig-like domain-containing protein	7918	6	1	1
215644	ENSLOCG00000000096		LIM homeobox transcription factor 1-alpha-like [Source:NCBI gene;Acc:102695509]	7918	6	1	1
215645	ENSLOCG00000000097	uhrf1	ubiquitin like with PHD and ring finger domains 1 [Source:NCBI gene;Acc:102683964]	7918	6	1	1
215646	ENSLOCG00000000098		Ig-like domain-containing protein	7918	6	1	1
215647	ENSLOCG00000000099		olfactory receptor 51F2-like [Source:NCBI gene;Acc:102686859]	7918	6	1	1
215648	ENSLOCG00000000100			7918	6	1	1
215649	ENSLOCG00000000101		mucin-19-like [Source:NCBI gene;Acc:102690310]	7918	6	1	1
215650	ENSLOCG00000000102		Ig-like domain-containing protein	7918	6	1	1
215651	ENSLOCG00000000103	cdc14ab	cell division cycle 14A [Source:NCBI gene;Acc:102698053]	7918	6	1	1
215652	ENSLOCG00000000104		olfactory receptor 51F2-like [Source:NCBI gene;Acc:102687059]	7918	6	1	1
215653	ENSLOCG00000000105	kdm4b	lysine demethylase 4B [Source:NCBI gene;Acc:102691840]	7918	6	1	1
215654	ENSLOCG00000000106		cold-inducible RNA-binding protein B-like [Source:NCBI gene;Acc:102683838]	7918	6	1	1
215655	ENSLOCG00000000107		Ig-like domain-containing protein	7918	6	1	1
215656	ENSLOCG00000000108		G_PROTEIN_RECEP_F1_2 domain-containing protein	7918	6	1	1
215657	ENSLOCG00000000109		Ig-like domain-containing protein	7918	6	1	1
215658	ENSLOCG00000000110		Olfactory receptor	7918	6	1	1
215659	ENSLOCG00000000111		Ig-like domain-containing protein	7918	6	1	1
215660	ENSLOCG00000000112		cold-inducible RNA-binding protein B-like [Source:NCBI gene;Acc:102684042]	7918	6	1	1
215661	ENSLOCG00000000113			7918	6	1	1
215662	ENSLOCG00000000114			7918	6	1	1
215663	ENSLOCG00000000115		Olfactory receptor	7918	6	1	1
215664	ENSLOCG00000000116	GPR88	G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]	7918	6	1	1
215665	ENSLOCG00000000117		Ig-like domain-containing protein	7918	6	1	1
215666	ENSLOCG00000000118		olfactory receptor 1500-like [Source:NCBI gene;Acc:102689705]	7918	6	1	1
215667	ENSLOCG00000000119		arachidonate 8S-lipoxygenase-like [Source:NCBI gene;Acc:102697403]	7918	6	1	1
215668	ENSLOCG00000000120	ptprsa	protein tyrosine phosphatase receptor type Sa [Source:ZFIN;Acc:ZDB-GENE-020107-3]	7918	6	1	1
215669	ENSLOCG00000000121		vascular cell adhesion protein 1-like [Source:NCBI gene;Acc:107076005]	7918	6	1	1
215670	ENSLOCG00000000122		interferon-induced protein 44-like [Source:NCBI gene;Acc:107076163]	7918	6	1	1
215671	ENSLOCG00000000123		C-type lectin domain-containing protein	7918	6	1	1
215672	ENSLOCG00000000124	ubl3a	ubiquitin like 3 [Source:NCBI gene;Acc:107075995]	7918	6	1	1
215673	ENSLOCG00000000125		complement C3-like [Source:NCBI gene;Acc:102687466]	7918	6	1	1
215674	ENSLOCG00000000126		RWD domain-containing protein	7918	6	1	1
215675	ENSLOCG00000000127		Fibrinogen C-terminal domain-containing protein	7918	6	1	1
215676	ENSLOCG00000000128			7918	6	1	1
215677	ENSLOCG00000000129			7918	6	1	1
215678	ENSLOCG00000000130	vcam1b	vascular cell adhesion molecule 1b [Source:ZFIN;Acc:ZDB-GENE-070209-238]	7918	6	1	1
215679	ENSLOCG00000000131			7918	6	1	1
215680	ENSLOCG00000000132			7918	6	1	1
215681	ENSLOCG00000000133	STK32B	serine/threonine-protein kinase 32B-like [Source:NCBI gene;Acc:102693861]	7918	6	1	1
215682	ENSLOCG00000000134			7918	6	1	1
215683	ENSLOCG00000000135	thoc6	THO complex 6 [Source:NCBI gene;Acc:100004014]	7918	6	1	1
215684	ENSLOCG00000000136	smim14	small integral membrane protein 14 [Source:NCBI gene;Acc:102686391]	7918	6	1	1
215685	ENSLOCG00000000137		Integrase catalytic domain-containing protein	7918	6	1	1
215686	ENSLOCG00000000138	si:dkeyp-27c8.2	magnesium dependent phosphatase 1 [Source:NCBI gene;Acc:102692525]	7918	6	1	1
215687	ENSLOCG00000000139		Ig-like domain-containing protein	7918	6	1	1
215688	ENSLOCG00000000140		SET domain-containing protein	7918	6	1	1
215689	ENSLOCG00000000141		Actin-depolymerizing factor	7918	6	1	1
215690	ENSLOCG00000000142		ATP-dependent DNA helicase	7918	6	1	1
215691	ENSLOCG00000000143			7918	6	1	1
215692	ENSLOCG00000000144		VWFA domain-containing protein	7918	6	1	1
215693	ENSLOCG00000000145	extl2	exostosin like glycosyltransferase 2 [Source:NCBI gene;Acc:102682682]	7918	6	1	1
215694	ENSLOCG00000000146			7918	6	1	1
215695	ENSLOCG00000000147			7918	6	1	1
215696	ENSLOCG00000000148			7918	6	1	1
215697	ENSLOCG00000000149	katnal1	katanin catalytic subunit A1 like 1 [Source:NCBI gene;Acc:102685024]	7918	6	1	1
215698	ENSLOCG00000000150	rem2	RAS (RAD and GEM)-like GTP binding 2 [Source:ZFIN;Acc:ZDB-GENE-081110-1]	7918	6	1	1
215699	ENSLOCG00000000151		SRCR domain-containing protein	7918	6	1	1
215700	ENSLOCG00000000152		Ig-like domain-containing protein	7918	6	1	1
215701	ENSLOCG00000000153	ky	kyphoscoliosis peptidase-like [Source:NCBI gene;Acc:102686311]	7918	6	1	1
215702	ENSLOCG00000000154			7918	6	1	1
215703	ENSLOCG00000000155		aldolase a, fructose-bisphosphate, a [Source:ZFIN;Acc:ZDB-GENE-030131-8369]	7918	6	1	1
215704	ENSLOCG00000000156			7918	6	1	1
215705	ENSLOCG00000000157		ATP-dependent DNA helicase	7918	6	1	1
215706	ENSLOCG00000000158		NACHT domain-containing protein	7918	6	1	1
215707	ENSLOCG00000000159		ras/Rap GTPase-activating protein SynGAP-like [Source:NCBI gene;Acc:107076186]	7918	6	1	1
215708	ENSLOCG00000000160	slc30a7	solute carrier family 30 member 7 [Source:NCBI gene;Acc:102698254]	7918	6	1	1
215709	ENSLOCG00000000161			7918	6	1	1
215710	ENSLOCG00000000162		SRCR domain-containing protein	7918	6	1	1
215711	ENSLOCG00000000163			7918	6	1	1
215712	ENSLOCG00000000164		neuropeptide FF receptor 1-like [Source:NCBI gene;Acc:102692927]	7918	6	1	1
215713	ENSLOCG00000000165			7918	6	1	1
215714	ENSLOCG00000000166		B30.2/SPRY domain-containing protein	7918	6	1	1
215715	ENSLOCG00000000167		Peptidase S1 domain-containing protein	7918	6	1	1
215716	ENSLOCG00000000168			7918	6	1	1
215717	ENSLOCG00000000169		pre-mRNA-splicing factor SYF1-like [Source:NCBI gene;Acc:107076457]	7918	6	1	1
215718	ENSLOCG00000000170			7918	6	1	1
215719	ENSLOCG00000000171			7918	6	1	1
215720	ENSLOCG00000000172		Ras-GAP domain-containing protein	7918	6	1	1
215721	ENSLOCG00000000173		Ig-like domain-containing protein	7918	6	1	1
215722	ENSLOCG00000000174	C1orf232	testis development-related protein-like [Source:NCBI gene;Acc:102689967]	7918	6	1	1
215723	ENSLOCG00000000175	cacng6b	calcium channel, voltage-dependent, gamma subunit 6b [Source:ZFIN;Acc:ZDB-GENE-100922-272]	7918	6	1	1
215724	ENSLOCG00000000176		AIG1-type G domain-containing protein	7918	6	1	1
215725	ENSLOCG00000000177			7918	6	1	1
215726	ENSLOCG00000000178	tbxa2r	thromboxane A2 receptor [Source:NCBI gene;Acc:102692038]	7918	6	1	1
215727	ENSLOCG00000000179		Reverse transcriptase domain-containing protein	7918	6	1	1
215728	ENSLOCG00000000180		UBC core domain-containing protein	7918	6	1	1
215729	ENSLOCG00000000181			7918	6	1	1
215730	ENSLOCG00000000182		ZnMc domain-containing protein	7918	6	1	1
215731	ENSLOCG00000000183		Copine domain-containing protein	7918	6	1	1
215732	ENSLOCG00000000184		Ski2_N domain-containing protein	7918	6	1	1
215733	ENSLOCG00000000185			7918	6	1	1
215734	ENSLOCG00000000186	dph5	diphthamide biosynthesis 5 [Source:NCBI gene;Acc:102698591]	7918	6	1	1
215735	ENSLOCG00000000187	hmgb1b	high mobility group box 1 [Source:NCBI gene;Acc:102685223]	7918	6	1	1
215736	ENSLOCG00000000188		G_PROTEIN_RECEP_F1_2 domain-containing protein	7918	6	1	1
215737	ENSLOCG00000000189		SRCR domain-containing protein	7918	6	1	1
215738	ENSLOCG00000000190		Ig-like domain-containing protein	7918	6	1	1
215739	ENSLOCG00000000191			7918	6	1	1
215740	ENSLOCG00000000192			7918	6	1	1
215741	ENSLOCG00000000193		B30.2/SPRY domain-containing protein	7918	6	1	1
215742	ENSLOCG00000000194	unc119.2	protein unc-119 homolog B-like [Source:NCBI gene;Acc:102689766]	7918	6	1	1
215743	ENSLOCG00000000195		ras/Rap GTPase-activating protein SynGAP-like [Source:NCBI gene;Acc:107076185]	7918	6	1	1
215744	ENSLOCG00000000196			7918	6	1	1
215745	ENSLOCG00000000197	gipc3	GIPC PDZ domain containing family member 3 [Source:NCBI gene;Acc:102692238]	7918	6	1	1
215746	ENSLOCG00000000198		ubiquitin specific peptidase like 1 [Source:NCBI gene;Acc:102690918]	7918	6	1	1
215747	ENSLOCG00000000199		calcium voltage-gated channel auxiliary subunit gamma 8 [Source:NCBI gene;Acc:107076081]	7918	6	1	1
215748	ENSLOCG00000000200		G_PROTEIN_RECEP_F1_2 domain-containing protein	7918	6	1	1
215749	ENSLOCG00000000201			7918	6	1	1
215750	ENSLOCG00000000202		sodium-dependent neutral amino acid transporter B(0)AT2-like [Source:NCBI gene;Acc:107076182]	7918	6	1	1
215751	ENSLOCG00000000203			7918	6	1	1
215752	ENSLOCG00000000204		Ig-like domain-containing protein	7918	6	1	1
215753	ENSLOCG00000000205			7918	6	1	1
215754	ENSLOCG00000000206			7918	6	1	1
215755	ENSLOCG00000000207		SUEL-type lectin domain-containing protein	7918	6	1	1
215756	ENSLOCG00000000208	nelfe	negative elongation factor E-like [Source:NCBI gene;Acc:102683016]	7918	6	1	1
215757	ENSLOCG00000000209	zgc:110366	zgc:110366 [Source:ZFIN;Acc:ZDB-GENE-050417-302]	7918	6	1	1
215758	ENSLOCG00000000210			7918	6	1	1
215759	ENSLOCG00000000211			7918	6	1	1
215760	ENSLOCG00000000212		zinc finger protein 391-like [Source:NCBI gene;Acc:107076002]	7918	6	1	1
215761	ENSLOCG00000000213			7918	6	1	1
215762	ENSLOCG00000000214		CTCK domain-containing protein	7918	6	1	1
215763	ENSLOCG00000000215		Ig-like domain-containing protein	7918	6	1	1
215764	ENSLOCG00000000216	si:zfos-943e10.1	si:zfos-943e10.1 [Source:ZFIN;Acc:ZDB-GENE-030131-5694]	7918	6	1	1
215765	ENSLOCG00000000217	dnajc5b	dnaJ homolog subfamily C member 5-like [Source:NCBI gene;Acc:102695827]	7918	6	1	1
215766	ENSLOCG00000000218			7918	6	1	1
215767	ENSLOCG00000000219		NACHT domain-containing protein	7918	6	1	1
215768	ENSLOCG00000000220	cacng7a	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:NCBI gene;Acc:102687732]	7918	6	1	1
215769	ENSLOCG00000000221		Ig-like domain-containing protein	7918	6	1	1
215770	ENSLOCG00000000222			7918	6	1	1
215771	ENSLOCG00000000223		G_PROTEIN_RECEP_F1_2 domain-containing protein	7918	6	1	1
215772	ENSLOCG00000000224	KCNK4	potassium two pore domain channel subfamily K member 4 [Source:HGNC Symbol;Acc:HGNC:6279]	7918	6	1	1
215773	ENSLOCG00000000225	PRADC1	protease associated domain containing 1 [Source:NCBI gene;Acc:102689442]	7918	6	1	1
215774	ENSLOCG00000000226			7918	6	1	1
215775	ENSLOCG00000000227		CCHC-type domain-containing protein	7918	6	1	1
215776	ENSLOCG00000000228	pnpla2	patatin-like phospholipase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-120913-3]	7918	6	1	1
215777	ENSLOCG00000000229		Ig-like domain-containing protein	7918	6	1	1
215778	ENSLOCG00000000230		Peptidase S1 domain-containing protein	7918	6	1	1
215779	ENSLOCG00000000231			7918	6	1	1
215780	ENSLOCG00000000232	zbtb37	zinc finger and BTB domain containing 37 [Source:NCBI gene;Acc:102698797]	7918	6	1	1
215781	ENSLOCG00000000233			7918	6	1	1
215782	ENSLOCG00000000234			7918	6	1	1
215783	ENSLOCG00000000235	alox5ap	arachidonate 5-lipoxygenase activating protein [Source:NCBI gene;Acc:102685424]	7918	6	1	1
215784	ENSLOCG00000000236	foxn4	forkhead box protein N4-like [Source:NCBI gene;Acc:102693191]	7918	6	1	1
215785	ENSLOCG00000000237		CTD domain-containing protein	7918	6	1	1
215786	ENSLOCG00000000238		G_PROTEIN_RECEP_F1_2 domain-containing protein	7918	6	1	1
215787	ENSLOCG00000000239		Poly [ADP-ribose] polymerase	7918	6	1	1
215788	ENSLOCG00000000240		WD_REPEATS_REGION domain-containing protein	7918	6	1	1
215789	ENSLOCG00000000241		SEA domain-containing protein	7918	6	1	1
215790	ENSLOCG00000000242		RPGR1_C domain-containing protein	7918	6	1	1
215791	ENSLOCG00000000243		IGv domain-containing protein	7918	6	1	1
215792	ENSLOCG00000000244			7918	6	1	1
215793	ENSLOCG00000000245			7918	6	1	1
215794	ENSLOCG00000000246			7918	6	1	1
215795	ENSLOCG00000000247	serpinc1	serpin family C member 1 [Source:NCBI gene;Acc:102683285]	7918	6	1	1
215796	ENSLOCG00000000248			7918	6	1	1
215797	ENSLOCG00000000249			7918	6	1	1
215798	ENSLOCG00000000250		proteasome subunit beta type-8-like [Source:NCBI gene;Acc:102683700]	7918	6	1	1
215799	ENSLOCG00000000251	ppiab	peptidyl-prolyl cis-trans isomerase A-like [Source:NCBI gene;Acc:102686513]	7918	6	1	1
215800	ENSLOCG00000000252			7918	6	1	1
215801	ENSLOCG00000000253		zinc finger protein 665-like [Source:NCBI gene;Acc:107076001]	7918	6	1	1
215802	ENSLOCG00000000254		Ig-like domain-containing protein	7918	6	1	1
215803	ENSLOCG00000000255		mesenteric estrogen dependent adipogenesis [Source:NCBI gene;Acc:102691121]	7918	6	1	1
215804	ENSLOCG00000000256		cytochrome P450 2B4-like [Source:NCBI gene;Acc:102688833]	7918	6	1	1
215805	ENSLOCG00000000257			7918	6	1	1
215806	ENSLOCG00000000258			7918	6	1	1
215807	ENSLOCG00000000259	si:ch211-284o19.8	si:ch211-284o19.8 [Source:ZFIN;Acc:ZDB-GENE-070912-289]	7918	6	1	1
215808	ENSLOCG00000000260			7918	6	1	1
215809	ENSLOCG00000000261			7918	6	1	1
215810	ENSLOCG00000000262		testis expressed 26 [Source:NCBI gene;Acc:107075994]	7918	6	1	1
215811	ENSLOCG00000000263		SSD domain-containing protein	7918	6	1	1
215812	ENSLOCG00000000264		Ig-like domain-containing protein	7918	6	1	1
215813	ENSLOCG00000000265			7918	6	1	1
215814	ENSLOCG00000000266		SEA domain-containing protein	7918	6	1	1
215815	ENSLOCG00000000267	parp2	poly (ADP-ribose) polymerase 2 [Source:ZFIN;Acc:ZDB-GENE-031113-6]	7918	6	1	1
215816	ENSLOCG00000000268	tspan37	tetraspanin 37 [Source:ZFIN;Acc:ZDB-GENE-070912-550]	7918	6	1	1
215817	ENSLOCG00000000269			7918	6	1	1
215818	ENSLOCG00000000270		SH2 domain-containing protein	7918	6	1	1
215819	ENSLOCG00000000271			7918	6	1	1
215820	ENSLOCG00000000272		AIG1-type G domain-containing protein	7918	6	1	1
215821	ENSLOCG00000000273		scavenger receptor cysteine-rich domain-containing protein SCART1-like [Source:NCBI gene;Acc:107076038]	7918	6	1	1
215822	ENSLOCG00000000274		AIG1-type G domain-containing protein	7918	6	1	1
215823	ENSLOCG00000000275	nmbr	neuromedin B receptor [Source:NCBI gene;Acc:102689569]	7918	6	1	1
215824	ENSLOCG00000000276		Ig-like domain-containing protein	7918	6	1	1
215825	ENSLOCG00000000277			7918	6	1	1
215826	ENSLOCG00000000278		Ig-like domain-containing protein	7918	6	1	1
215827	ENSLOCG00000000279	rc3h1a	ring finger and CCCH-type domains 1 [Source:NCBI gene;Acc:102698995]	7918	6	1	1
215828	ENSLOCG00000000280		Ig-like domain-containing protein	7918	6	1	1
215829	ENSLOCG00000000281	si:dkey-61p9.11	phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsD-like [Source:NCBI gene;Acc:102695896]	7918	6	1	1
215830	ENSLOCG00000000282			7918	6	1	1
215831	ENSLOCG00000000283			7918	6	1	1
215832	ENSLOCG00000000284	elavl1b	ELAV like RNA binding protein 1 [Source:NCBI gene;Acc:102684366]	7918	6	1	1
215833	ENSLOCG00000000285			7918	6	1	1
215834	ENSLOCG00000000286			7918	6	1	1
215835	ENSLOCG00000000287		NLRC4_HD2 domain-containing protein	7918	6	1	1
215836	ENSLOCG00000000288			7918	6	1	1
215837	ENSLOCG00000000289			7918	6	1	1
215838	ENSLOCG00000000290	cx23	gap junction epsilon-1 protein-like [Source:NCBI gene;Acc:102689765]	7918	6	1	1
215839	ENSLOCG00000000291			7918	6	1	1
215840	ENSLOCG00000000292		tumor necrosis factor receptor superfamily member 14-like [Source:NCBI gene;Acc:102690647]	7918	6	1	1
215841	ENSLOCG00000000293		Helitron_like_N domain-containing protein	7918	6	1	1
215842	ENSLOCG00000000294	wdr95	WD40 repeat domain 95 [Source:ZFIN;Acc:ZDB-GENE-131127-243]	7918	6	1	1
215843	ENSLOCG00000000295	rcc1l	Williams-Beuren syndrome chromosomal region 16 protein-like [Source:NCBI gene;Acc:102684502]	7918	6	1	1
215844	ENSLOCG00000000296		Ig-like domain-containing protein	7918	6	1	1
215845	ENSLOCG00000000297			7918	6	1	1
215846	ENSLOCG00000000298	cep152	centrosomal protein 152 [Source:ZFIN;Acc:ZDB-GENE-111005-1]	7918	6	1	1
215847	ENSLOCG00000000299	dbt	dihydrolipoamide branched chain transacylase E2 [Source:NCBI gene;Acc:102683488]	7918	6	1	1
215848	ENSLOCG00000000300			7918	6	1	1
215849	ENSLOCG00000000301			7918	6	1	1
215850	ENSLOCG00000000302		Ig-like domain-containing protein	7918	6	1	1
215851	ENSLOCG00000000303		AIG1-type G domain-containing protein	7918	6	1	1
215852	ENSLOCG00000000304	gypc	glycophorin C (Gerbich blood group) [Source:NCBI gene;Acc:102697131]	7918	6	1	1
215853	ENSLOCG00000000305	slc1a8b	excitatory amino acid transporter 5-like [Source:NCBI gene;Acc:102684566]	7918	6	1	1
215854	ENSLOCG00000000306		electroneutral sodium bicarbonate exchanger 1-like [Source:NCBI gene;Acc:102693664]	7918	6	1	1
215855	ENSLOCG00000000307		Protein kinase domain-containing protein	7918	6	1	1
