9986	9031	9606	9544	10116	10090
ENSOCUG00000000123	ENSGALG00000007474	ENSG00000161217	ENSMMUG00000038924	ENSRNOG00000001762	ENSMUSG00000005615
ENSOCUG00000000125	ENSGALG00000004474	ENSG00000166289	ENSMMUG00000011373	ENSRNOG00000027724	ENSMUSG00000074170
ENSOCUG00000000127	ENSGALG00000013135	ENSG00000141429	ENSMMUG00000000457	ENSRNOG00000016207	ENSMUSG00000000420
ENSOCUG00000000128	ENSGALG00000028290	ENSG00000154642	ENSMMUG00000045463	ENSRNOG00000001554	ENSMUSG00000022864
ENSOCUG00000000129	ENSGALG00000037983	ENSG00000007392	ENSMMUG00000000596	ENSRNOG00000020488	ENSMUSG00000024188
ENSOCUG00000000134	ENSGALG00000003677	ENSG00000196358	ENSMMUG00000006923	ENSRNOG00000013694	ENSMUSG00000035513
ENSOCUG00000000136	ENSGALG00000006041	ENSG00000169594	ENSMMUG00000008188	ENSRNOG00000019770	ENSMUSG00000025105
ENSOCUG00000000140	ENSGALG00000004390	ENSG00000132842	ENSMMUG00000001360	ENSRNOG00000010624	ENSMUSG00000021686
ENSOCUG00000000141	ENSGALG00000040976	ENSG00000075089	ENSMMUG00000023603	ENSRNOG00000007875	ENSMUSG00000019948
ENSOCUG00000000144	ENSGALG00000035466	ENSG00000182389	ENSMMUG00000010526	ENSRNOG00000007666	ENSMUSG00000017412
ENSOCUG00000000145	ENSGALG00000015209	ENSG00000165030	ENSMMUG00000023257	ENSRNOG00000011668	ENSMUSG00000056749
ENSOCUG00000000146	ENSGALG00000030162	ENSG00000140575	ENSMMUG00000011882	ENSRNOG00000012002	ENSMUSG00000030536
ENSOCUG00000000148	ENSGALG00000002358	ENSG00000129596	ENSMMUG00000061758	ENSRNOG00000000158	ENSMUSG00000033022
ENSOCUG00000000149	ENSGALG00000039615	ENSG00000147065	ENSMMUG00000015653	ENSRNOG00000030118	ENSMUSG00000031207
ENSOCUG00000000152	ENSGALG00000004806	ENSG00000116406	ENSMMUG00000005410	ENSRNOG00000028358	ENSMUSG00000043019
ENSOCUG00000000155	ENSGALG00000004186	ENSG00000126653	ENSMMUG00000012121	ENSRNOG00000062400	ENSMUSG00000037958
ENSOCUG00000000156	ENSGALG00000008370	ENSG00000115993	ENSMMUG00000023812	ENSRNOG00000010881	ENSMUSG00000026028
ENSOCUG00000000157	ENSGALG00000037773	ENSG00000008513	ENSMMUG00000012531	ENSRNOG00000008209	ENSMUSG00000013846
ENSOCUG00000000159	ENSGALG00000015284	ENSG00000174136	ENSMMUG00000014086	ENSRNOG00000064721	ENSMUSG00000048027
ENSOCUG00000000161	ENSGALG00000015665	ENSG00000087266	ENSMMUG00000014335	ENSRNOG00000013747	ENSMUSG00000054520
ENSOCUG00000000163	ENSGALG00000015349	ENSG00000174227	ENSMMUG00000017457	ENSRNOG00000071170	ENSMUSG00000029263
ENSOCUG00000000166	ENSGALG00000037299	ENSG00000186687	ENSMMUG00000051203	ENSRNOG00000045961	ENSMUSG00000020268
ENSOCUG00000000171	ENSGALG00000055021	ENSG00000180875	ENSMMUG00000064824	ENSRNOG00000003616	ENSMUSG00000050069
ENSOCUG00000000172	ENSGALG00000039327	ENSG00000134215	ENSMMUG00000019714	ENSRNOG00000020485	ENSMUSG00000033721
ENSOCUG00000000173	ENSGALG00000010733	ENSG00000143702	ENSMMUG00000019914	ENSRNOG00000004127	ENSMUSG00000057335
ENSOCUG00000000174	ENSGALG00000006763	ENSG00000138190	ENSMMUG00000010874	ENSRNOG00000036601	ENSMUSG00000053799
ENSOCUG00000000176	ENSGALG00000043213	ENSG00000187553	ENSMMUG00000040561	ENSRNOG00000030698	ENSMUSG00000062432
ENSOCUG00000000178	ENSGALG00000033695	ENSG00000095596	ENSMMUG00000010881	ENSRNOG00000016750	ENSMUSG00000024987
ENSOCUG00000000181	ENSGALG00000012171	ENSG00000183840	ENSMMUG00000016115	ENSRNOG00000021586	ENSMUSG00000026343
ENSOCUG00000000182	ENSGALG00000050403	ENSG00000150551	ENSMMUG00000058920	ENSRNOG00000003453	ENSMUSG00000026344
ENSOCUG00000000184	ENSGALG00000012177	ENSG00000176771	ENSMMUG00000045491	ENSRNOG00000021553	ENSMUSG00000049690
ENSOCUG00000000185	ENSGALG00000009638	ENSG00000177119	ENSMMUG00000011811	ENSRNOG00000006995	ENSMUSG00000064210
ENSOCUG00000000187	ENSGALG00000012659	ENSG00000136026	ENSMMUG00000055446	ENSRNOG00000008016	ENSMUSG00000046841
ENSOCUG00000000188	ENSGALG00000015405	ENSG00000085377	ENSMMUG00000013483	ENSRNOG00000051061	ENSMUSG00000019849
ENSOCUG00000000191	ENSGALG00000007374	ENSG00000166793	ENSMMUG00000012620	ENSRNOG00000069900	ENSMUSG00000034059
ENSOCUG00000000194	ENSGALG00000037437	ENSG00000179388	ENSMMUG00000058396	ENSRNOG00000017828	ENSMUSG00000033730
ENSOCUG00000000197	ENSGALG00000034855	ENSG00000159399	ENSMMUG00000011845	ENSRNOG00000006116	ENSMUSG00000000628
ENSOCUG00000000199	ENSGALG00000044263	ENSG00000165325	ENSMMUG00000006665	ENSRNOG00000061247	ENSMUSG00000039977
ENSOCUG00000000200	ENSGALG00000005834	ENSG00000007168	ENSMMUG00000020524	ENSRNOG00000002755	ENSMUSG00000020745
ENSOCUG00000000201	ENSGALG00000039411	ENSG00000188517	ENSMMUG00000017703	ENSRNOG00000050706	ENSMUSG00000058897
ENSOCUG00000000203	ENSGALG00000007861	ENSG00000102158	ENSMMUG00000014407	ENSRNOG00000051408	ENSMUSG00000031232
ENSOCUG00000000206	ENSGALG00000011354	ENSG00000163499	ENSMMUG00000064755	ENSRNOG00000017996	ENSMUSG00000006546
ENSOCUG00000000208	ENSGALG00000034212	ENSG00000181378	ENSMMUG00000000783	ENSRNOG00000056996	ENSMUSG00000047021
ENSOCUG00000000213	ENSGALG00000001437	ENSG00000182667	ENSMMUG00000020197	ENSRNOG00000066437	ENSMUSG00000059974
ENSOCUG00000000214	ENSGALG00000031227	ENSG00000163832	ENSMMUG00000013385	ENSRNOG00000020847	ENSMUSG00000054836
ENSOCUG00000000215	ENSGALG00000005521	ENSG00000132326	ENSMMUG00000018930	ENSRNOG00000020254	ENSMUSG00000055866
ENSOCUG00000000218	ENSGALG00000041337	ENSG00000155100	ENSMMUG00000013396	ENSRNOG00000006636	ENSMUSG00000040550
ENSOCUG00000000220	ENSGALG00000016890	ENSG00000139793	ENSMMUG00000022744	ENSRNOG00000010737	ENSMUSG00000022139
ENSOCUG00000000222	ENSGALG00000003748	ENSG00000171714	ENSMMUG00000006183	ENSRNOG00000015972	ENSMUSG00000055489
ENSOCUG00000000227	ENSGALG00000036949	ENSG00000088280	ENSMMUG00000042021	ENSRNOG00000049714	ENSMUSG00000036995
ENSOCUG00000000228	ENSGALG00000036850	ENSG00000140403	ENSMMUG00000014204	ENSRNOG00000012106	ENSMUSG00000032285
ENSOCUG00000000229	ENSGALG00000009381	ENSG00000197555	ENSMMUG00000020067	ENSRNOG00000007646	ENSMUSG00000042700
ENSOCUG00000000230	ENSGALG00000028658	ENSG00000182359	ENSMMUG00000010989	ENSRNOG00000069206	ENSMUSG00000025893
ENSOCUG00000000231	ENSGALG00000027981	ENSG00000149313	ENSMMUG00000010990	ENSRNOG00000005795	ENSMUSG00000025894
ENSOCUG00000000234	ENSGALG00000003712	ENSG00000107263	ENSMMUG00000006479	ENSRNOG00000014316	ENSMUSG00000039844
ENSOCUG00000000236	ENSGALG00000039173	ENSG00000182175	ENSMMUG00000017381	ENSRNOG00000012874	ENSMUSG00000070509
ENSOCUG00000000237	ENSGALG00000014818	ENSG00000134253	ENSMMUG00000015976	ENSRNOG00000015347	ENSMUSG00000033233
ENSOCUG00000000239	ENSGALG00000002207	ENSG00000151418	ENSMMUG00000011992	ENSRNOG00000022480	ENSMUSG00000026394
ENSOCUG00000000242	ENSGALG00000032845	ENSG00000146926	ENSMMUG00000006672	ENSRNOG00000024885	ENSMUSG00000038204
ENSOCUG00000000244	ENSGALG00000034274	ENSG00000075240	ENSMMUG00000020949	ENSRNOG00000016968	ENSMUSG00000035900
ENSOCUG00000000247	ENSGALG00000036477	ENSG00000033100	ENSMMUG00000006682	ENSRNOG00000010466	ENSMUSG00000038181
ENSOCUG00000000249	ENSGALG00000043137	ENSG00000082014	ENSMMUG00000006687	ENSRNOG00000010077	ENSMUSG00000028949
ENSOCUG00000000252	ENSGALG00000005323	ENSG00000165023	ENSMMUG00000007223	ENSRNOG00000062731	ENSMUSG00000047842
ENSOCUG00000000255	ENSGALG00000006439	ENSG00000129675	ENSMMUG00000013768	ENSRNOG00000000869	ENSMUSG00000031133
ENSOCUG00000000258	ENSGALG00000013929	ENSG00000134853	ENSMMUG00000017395	ENSRNOG00000002244	ENSMUSG00000029231
ENSOCUG00000000265	ENSGALG00000015846	ENSG00000065609	ENSMMUG00000016703	ENSRNOG00000023861	ENSMUSG00000033419
ENSOCUG00000000266	ENSGALG00000034196	ENSG00000134245	ENSMMUG00000007765	ENSRNOG00000014385	ENSMUSG00000027840
ENSOCUG00000000268	ENSGALG00000002744	ENSG00000150275	ENSMMUG00000009794	ENSRNOG00000000606	ENSMUSG00000052613
ENSOCUG00000000269	ENSGALG00000001538	ENSG00000007341	ENSMMUG00000007766	ENSRNOG00000014002	ENSMUSG00000045576
ENSOCUG00000000270	ENSGALG00000001547	ENSG00000116489	ENSMMUG00000015668	ENSRNOG00000013538	ENSMUSG00000070372
ENSOCUG00000000271	ENSGALG00000015115	ENSG00000165072	ENSMMUG00000008343	ENSRNOG00000024620	ENSMUSG00000033207
ENSOCUG00000000272	ENSGALG00000003969	ENSG00000127463	ENSMMUG00000006688	ENSRNOG00000018097	ENSMUSG00000078517
ENSOCUG00000000277	ENSGALG00000013661	ENSG00000155970	ENSMMUG00000017992	ENSRNOG00000012767	ENSMUSG00000039478
ENSOCUG00000000278	ENSGALG00000008595	ENSG00000137815	ENSMMUG00000015482	ENSRNOG00000005183	ENSMUSG00000027304
ENSOCUG00000000281	ENSGALG00000010991	ENSG00000088035	ENSMMUG00000020046	ENSRNOG00000009045	ENSMUSG00000073792
ENSOCUG00000000285	ENSGALG00000009305	ENSG00000143815	ENSMMUG00000003472	ENSRNOG00000052574	ENSMUSG00000004880
ENSOCUG00000000301	ENSGALG00000032590	ENSG00000072864	ENSMMUG00000010366	ENSRNOG00000058007	ENSMUSG00000022678
ENSOCUG00000000303	ENSGALG00000009435	ENSG00000154415	ENSMMUG00000022642	ENSRNOG00000059350	ENSMUSG00000042717
ENSOCUG00000000307	ENSGALG00000016702	ENSG00000167393	ENSMMUG00000005113	ENSRNOG00000049270	ENSMUSG00000093803
ENSOCUG00000000309	ENSGALG00000016469	ENSG00000151379	ENSMMUG00000008141	ENSRNOG00000028518	ENSMUSG00000047002
ENSOCUG00000000310	ENSGALG00000007371	ENSG00000174498	ENSMMUG00000021783	ENSRNOG00000030800	ENSMUSG00000032394
ENSOCUG00000000312	ENSGALG00000007410	ENSG00000103742	ENSMMUG00000021788	ENSRNOG00000033496	ENSMUSG00000032816
ENSOCUG00000000315	ENSGALG00000034109	ENSG00000125675	ENSMMUG00000009054	ENSRNOG00000007682	ENSMUSG00000001986
ENSOCUG00000000318	ENSGALG00000017323	ENSG00000054965	ENSMMUG00000003142	ENSRNOG00000018873	ENSMUSG00000029461
ENSOCUG00000000320	ENSGALG00000016361	ENSG00000184731	ENSMMUG00000061991	ENSRNOG00000005660	ENSMUSG00000036136
ENSOCUG00000000321	ENSGALG00000026007	ENSG00000175283	ENSMMUG00000011755	ENSRNOG00000016989	ENSMUSG00000075419
ENSOCUG00000000322	ENSGALG00000003091	ENSG00000140694	ENSMMUG00000018849	ENSRNOG00000002912	ENSMUSG00000022685
ENSOCUG00000000323	ENSGALG00000043394	ENSG00000095319	ENSMMUG00000011757	ENSRNOG00000025185	ENSMUSG00000052533
ENSOCUG00000000324	ENSGALG00000040136	ENSG00000152229	ENSMMUG00000003566	ENSRNOG00000016987	ENSMUSG00000025429
ENSOCUG00000000325	ENSGALG00000002532	ENSG00000187513	ENSMMUG00000022679	ENSRNOG00000014357	ENSMUSG00000050234
ENSOCUG00000000326	ENSGALG00000012426	ENSG00000100523	ENSMMUG00000014197	ENSRNOG00000009481	ENSMUSG00000037697
ENSOCUG00000000328	ENSGALG00000039541	ENSG00000148341	ENSMMUG00000011759	ENSRNOG00000017295	ENSMUSG00000026860
ENSOCUG00000000330	ENSGALG00000046204	ENSG00000101074	ENSMMUG00000022215	ENSRNOG00000027432	ENSMUSG00000078949
ENSOCUG00000000336	ENSGALG00000044213	ENSG00000165819	ENSMMUG00000062638	ENSRNOG00000013111	ENSMUSG00000022160
ENSOCUG00000000341	ENSGALG00000009368	ENSG00000182732	ENSMMUG00000001820	ENSRNOG00000008082	ENSMUSG00000021219
ENSOCUG00000000344	ENSGALG00000012513	ENSG00000115145	ENSMMUG00000010527	ENSRNOG00000027447	ENSMUSG00000055371
ENSOCUG00000000345	ENSGALG00000034224	ENSG00000169085	ENSMMUG00000022419	ENSRNOG00000021663	ENSMUSG00000067879
ENSOCUG00000000346	ENSGALG00000040364	ENSG00000122557	ENSMMUG00000001350	ENSRNOG00000029995	ENSMUSG00000008429
ENSOCUG00000000348	ENSGALG00000029836	ENSG00000112293	ENSMMUG00000022119	ENSRNOG00000017702	ENSMUSG00000021340
ENSOCUG00000000354	ENSGALG00000036074	ENSG00000124787	ENSMMUG00000004966	ENSRNOG00000016226	ENSMUSG00000021418
ENSOCUG00000000355	ENSGALG00000028140	ENSG00000122756	ENSMMUG00000020780	ENSRNOG00000047307	ENSMUSG00000028444
ENSOCUG00000000356	ENSGALG00000031002	ENSG00000177628	ENSMMUG00000008507	ENSRNOG00000049281	ENSMUSG00000028048
ENSOCUG00000000357	ENSGALG00000038723	ENSG00000164967	ENSMMUG00000031830	ENSRNOG00000064027	ENSMUSG00000036114
ENSOCUG00000000360	ENSGALG00000012917	ENSG00000113361	ENSMMUG00000000712	ENSRNOG00000013535	ENSMUSG00000039385
ENSOCUG00000000364	ENSGALG00000028996	ENSG00000147955	ENSMMUG00000020774	ENSRNOG00000014604	ENSMUSG00000036078
ENSOCUG00000000365	ENSGALG00000023335	ENSG00000163743	ENSMMUG00000009177	ENSRNOG00000002546	ENSMUSG00000029397
ENSOCUG00000000367	ENSGALG00000012916	ENSG00000113360	ENSMMUG00000012193	ENSRNOG00000013451	ENSMUSG00000022191
ENSOCUG00000000370	ENSGALG00000001370	ENSG00000134917	ENSMMUG00000003300	ENSRNOG00000005574	ENSMUSG00000031994
ENSOCUG00000000374	ENSGALG00000001407	ENSG00000166106	ENSMMUG00000003301	ENSRNOG00000009892	ENSMUSG00000033453
ENSOCUG00000000375	ENSGALG00000012909	ENSG00000082213	ENSMMUG00000012200	ENSRNOG00000022745	ENSMUSG00000022195
ENSOCUG00000000377	ENSGALG00000004897	ENSG00000075218	ENSMMUG00000008136	ENSRNOG00000016148	ENSMUSG00000022385
ENSOCUG00000000378	ENSGALG00000031768	ENSG00000054796	ENSMMUG00000050707	ENSRNOG00000006732	ENSMUSG00000005883
ENSOCUG00000000380	ENSGALG00000034168	ENSG00000114251	ENSMMUG00000061281	ENSRNOG00000015618	ENSMUSG00000021994
ENSOCUG00000000381	ENSGALG00000004268	ENSG00000001461	ENSMMUG00000004466	ENSRNOG00000037165	ENSMUSG00000028803
ENSOCUG00000000386	ENSGALG00000004282	ENSG00000117602	ENSMMUG00000022927	ENSRNOG00000018576	ENSMUSG00000059713
ENSOCUG00000000388	ENSGALG00000026385	ENSG00000143353	ENSMMUG00000007806	ENSRNOG00000023130	ENSMUSG00000039246
ENSOCUG00000000391	ENSGALG00000007367	ENSG00000173714	ENSMMUG00000022741	ENSRNOG00000002831	ENSMUSG00000044177
ENSOCUG00000000392	ENSGALG00000036567	ENSG00000104442	ENSMMUG00000028974	ENSRNOG00000013253	ENSMUSG00000027599
ENSOCUG00000000397	ENSGALG00000011744	ENSG00000160145	ENSMMUG00000003851	ENSRNOG00000001706	ENSMUSG00000061751
ENSOCUG00000000398	ENSGALG00000018998	ENSG00000113763	ENSMMUG00000002649	ENSRNOG00000059840	ENSMUSG00000025876
ENSOCUG00000000402	ENSGALG00000019651	ENSG00000173467	ENSMMUG00000016017	ENSRNOG00000004994	ENSMUSG00000036231
ENSOCUG00000000403	ENSGALG00000034007	ENSG00000091409	ENSMMUG00000002370	ENSRNOG00000001518	ENSMUSG00000027111
ENSOCUG00000000406	ENSGALG00000001158	ENSG00000087206	ENSMMUG00000022838	ENSRNOG00000016891	ENSMUSG00000025878
ENSOCUG00000000407	ENSGALG00000016899	ENSG00000080166	ENSMMUG00000021817	ENSRNOG00000008671	ENSMUSG00000022129
ENSOCUG00000000408	ENSGALG00000013235	ENSG00000152256	ENSMMUG00000022553	ENSRNOG00000001517	ENSMUSG00000006494
ENSOCUG00000000409	ENSGALG00000039216	ENSG00000142173	ENSMMUG00000022317	ENSRNOG00000001254	ENSMUSG00000020241
ENSOCUG00000000410	ENSGALG00000004413	ENSG00000133195	ENSMMUG00000014195	ENSRNOG00000031213	ENSMUSG00000041654
ENSOCUG00000000412	ENSGALG00000011770	ENSG00000114491	ENSMMUG00000032009	ENSRNOG00000001797	ENSMUSG00000022814
ENSOCUG00000000418	ENSGALG00000039432	ENSG00000181631	ENSMMUG00000038998	ENSRNOG00000029756	ENSMUSG00000036362
ENSOCUG00000000421	ENSGALG00000002088	ENSG00000182687	ENSMMUG00000049812	ENSRNOG00000061733	ENSMUSG00000020793
ENSOCUG00000000425	ENSGALG00000012813	ENSG00000112739	ENSMMUG00000014017	ENSRNOG00000016705	ENSMUSG00000021413
ENSOCUG00000000426	ENSGALG00000000712	ENSG00000117280	ENSMMUG00000021426	ENSRNOG00000049641	ENSMUSG00000026433
ENSOCUG00000000427	ENSGALG00000000724	ENSG00000162877	ENSMMUG00000003673	ENSRNOG00000039745	ENSMUSG00000042251
ENSOCUG00000000431	ENSGALG00000003193	ENSG00000166426	ENSMMUG00000009393	ENSRNOG00000023633	ENSMUSG00000032291
ENSOCUG00000000432	ENSGALG00000006015	ENSG00000129083	ENSMMUG00000016444	ENSRNOG00000057623	ENSMUSG00000030754
ENSOCUG00000000435	ENSGALG00000003336	ENSG00000035664	ENSMMUG00000018177	ENSRNOG00000017332	ENSMUSG00000032380
ENSOCUG00000000437	ENSGALG00000009837	ENSG00000143476	ENSMMUG00000010176	ENSRNOG00000004195	ENSMUSG00000037474
ENSOCUG00000000439	ENSGALG00000006022	ENSG00000129084	ENSMMUG00000016446	ENSRNOG00000011745	ENSMUSG00000030751
ENSOCUG00000000440	ENSGALG00000029435	ENSG00000172817	ENSMMUG00000004411	ENSRNOG00000009730	ENSMUSG00000039519
ENSOCUG00000000444	ENSGALG00000015485	ENSG00000162836	ENSMMUG00000013561	ENSRNOG00000017494	ENSMUSG00000028093
ENSOCUG00000000455	ENSGALG00000007125	ENSG00000148498	ENSMMUG00000019156	ENSRNOG00000032437	ENSMUSG00000025812
ENSOCUG00000000459	ENSGALG00000006292	ENSG00000133627	ENSMMUG00000018920	ENSRNOG00000031855	ENSMUSG00000056367
ENSOCUG00000000462	ENSGALG00000042182	ENSG00000164830	ENSMMUG00000017845	ENSRNOG00000056487	ENSMUSG00000022307
ENSOCUG00000000463	ENSGALG00000007958	ENSG00000119041	ENSMMUG00000008643	ENSRNOG00000002091	ENSMUSG00000041303
ENSOCUG00000000466	ENSGALG00000010699	ENSG00000164654	ENSMMUG00000000853	ENSRNOG00000007924	ENSMUSG00000042447
ENSOCUG00000000471	ENSGALG00000012421	ENSG00000075884	ENSMMUG00000006528	ENSRNOG00000031168	ENSMUSG00000049744
ENSOCUG00000000472	ENSGALG00000011114	ENSG00000135775	ENSMMUG00000005877	ENSRNOG00000018228	ENSMUSG00000031979
ENSOCUG00000000475	ENSGALG00000005138	ENSG00000110906	ENSMMUG00000019649	ENSRNOG00000047896	ENSMUSG00000001098
ENSOCUG00000000477	ENSGALG00000033696	ENSG00000125970	ENSMMUG00000018093	ENSRNOG00000017405	ENSMUSG00000027593
ENSOCUG00000000481	ENSGALG00000033196	ENSG00000125977	ENSMMUG00000018095	ENSRNOG00000017447	ENSMUSG00000074656
ENSOCUG00000000482	ENSGALG00000011834	ENSG00000170917	ENSMMUG00000007420	ENSRNOG00000017420	ENSMUSG00000050174
ENSOCUG00000000483	ENSGALG00000011136	ENSG00000135773	ENSMMUG00000005882	ENSRNOG00000018480	ENSMUSG00000031981
ENSOCUG00000000485	ENSGALG00000009496	ENSG00000145414	ENSMMUG00000001717	ENSRNOG00000026403	ENSMUSG00000014907
ENSOCUG00000000486	ENSGALG00000011833	ENSG00000145375	ENSMMUG00000007422	ENSRNOG00000017462	ENSMUSG00000027722
